12188-0,TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-.,"5,00",UN,"6,00","17,24","30,00","42,53%"
12189-0,TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-.,"5,00",UN,"6,00","17,01","30,00","43,30%"
12190-0,TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-.,"5,00",UN,"6,00","17,00","30,00","43,33%"
12191-0,TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-.,"5,00",UN,"6,00","16,96","30,00","43,47%"
12182-0,TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-.,"1,00",UN,"40,00","17,61","40,00","55,98%"
12184-0,TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-.,"1,00",UN,"40,00","17,92","40,00","55,20%"
12163-0,TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-.,"6,00",UN,"5,17","15,51","31,00","49,97%"
12164-0,TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-.,"1,00",UN,"6,00","2,59","6,00","56,83%"
12165-0,TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-.,"1,00",UN,"6,00","2,59","6,00","56,83%"
12166-0,TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-.,"1,00",UN,"6,00","2,59","6,00","56,83%"
,Total :,"31,00",,"8,03","127,01","249,00","48,99%"
20.165,ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
15001-0,CLIP P/ CARTUCHO SERIE 3000/5000 PRETO 1X100 (CX C/ 30)-.,"1,00",PCT,"35,00","17,25","35,00","50,71%"
,Total :,"1,00",,"35,00","17,25","35,00","50,71%"
2002.2001,ADESIVO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"53,00",M2,"5,70","173,48","302,10","42,58%"
